section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
12,Comment_a_shuib_Parma_68,DaatChacham_Vat107_Main,0.0774,-1.463,,66,-0.785,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,Likutim_bhml_1978,SaportaOxford1645,0.1343,1.544,-0.789,66,-0.789,66,direct_pair_valid,
32,DaatChacham_Vat214_Main,MeiratEinayim,0.1322,1.544,-0.790,21,-0.790,21,direct_pair_valid,
29,KeterShemTov,Rabenu_Bahayii,0.1801,2.356,-0.791,28,-0.791,28,direct_pair_valid,
29,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.1801,2.356,-0.791,28,-0.791,28,direct_pair_valid,
12,DaatChacham_Vat214_Marginalia,KenegedAsaraMaamaritLondon847,0.0767,-1.463,,66,-0.791,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat107_Main,SaportaOxford1645,0.1389,1.544,,66,-0.793,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat214_Marginalia,SaportaOxford1645,0.1389,1.544,,66,-0.793,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Main,0.0521,-2.635,-0.797,78,-0.797,78,direct_pair_valid,
31,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Main,0.0979,-0.102,-0.797,36,-0.797,36,direct_pair_valid,
24,KenegedAsaraMaamaritLondon847,UnKnownVatikan214,0.1265,0.381,-0.797,66,-0.797,66,direct_pair_valid,
4,IbnShuib,KenegedAsaraMaamaritLondon847,0.1333,1.544,-0.801,66,-0.801,66,direct_pair_valid,
26_1,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.1255,0.381,-0.809,28,-0.809,28,direct_pair_valid,
12,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Main,0.0742,-1.463,,66,-0.813,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.1082,-0.102,,55,-0.815,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
23,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Marginalia,0.0838,-1.463,,28,-0.820,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
18,KeterShemTov,MeiratEinayim,0.1361,1.544,-0.823,36,-0.823,36,direct_pair_valid,
25,DaatChacham_Vat107_Main,KeterShemTov,0.0630,-2.187,-0.832,28,-0.832,28,direct_pair_valid,
14,DaatChacham_Vat214_Marginalia,UnKnownEskorial,0.1067,-0.102,,55,-0.833,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
27,DaatChacham_Vat214_Main,UnKnownVatikan214,0.1069,-0.102,-0.836,55,-0.836,55,direct_pair_valid,
22,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Marginalia,0.1247,0.381,,28,-0.836,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
23,Comment_a_shuib_Parma_68,UnKnownEskorial,0.0810,-1.463,,28,-0.837,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
1,IbnShuib,Rabenu_Bahayii,0.0823,-1.463,-0.839,45,-0.839,45,direct_pair_valid,
27,Comment_a_shuib_Parma_68,UnKnownVatikan214,0.1066,-0.102,-0.840,55,-0.840,55,direct_pair_valid,
10,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.1465,1.544,-0.841,55,-0.841,55,direct_pair_valid,
4,Rabenu_Bahayii,SaportaOxford1645,0.1295,0.381,-0.844,66,-0.844,66,direct_pair_valid,
26_1,KeterShemTov,UnKnownVatikan214,0.1204,0.381,-0.845,28,-0.845,28,direct_pair_valid,
17,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.0624,-2.187,-0.851,55,-0.851,55,direct_pair_valid,
17,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0619,-2.187,-0.857,55,-0.857,55,direct_pair_valid,
13,KeterShemTovMS_L,Rabenu_Bahayii,0.1881,2.791,-0.857,45,-0.857,45,direct_pair_valid,
27,DaatChacham_Vat214_Main,KenegedAsaraMaamaritParis868,0.1051,-0.102,-0.858,55,-0.858,55,direct_pair_valid,
10,IbnShuib,UnKnownEskorial,0.1451,1.544,-0.861,55,-0.861,55,direct_pair_valid,
7_1,Rabenu_Bahayii,UnKnownEskorial,0.1850,2.791,-0.864,45,-0.864,45,direct_pair_valid,
6,KenegedAsaraMaamaritLondon847,Likutim_bhml_1978,0.0466,-2.635,-0.866,78,-0.866,78,direct_pair_valid,
7_2,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.2242,3.479,-0.867,15,-0.867,15,direct_pair_valid,
22,Comment_a_shuib_Parma_68,IbnShuib,0.1225,0.381,,28,-0.867,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
19_2,DaatChacham_Vat107_Main,UnKnownVatikan214,0.1515,3.989,-0.870,55,-0.870,55,direct_pair_valid,
4,SaportaOxford1645,UnKnownEskorial,0.1270,0.381,-0.872,66,-0.872,66,direct_pair_valid,
20,UnKnownEskorial,מערכת האלוהות,0.0988,-0.102,-0.874,66,-0.874,66,direct_pair_valid,
